"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap"
"HORS ZONE DELIVERY","Courier & delivery services","Rue Kacem Al Iraqui, El Jadida","·","· Closes 18:00","Open","+212 645-011871"
"Agence Jumia - Sidi moussa - El jadida","Courier & delivery services","2 Rue 18 زنقة, El Jadida","·","· Closes 19:00","Open","+212 660-771313"
"Ozon Express : Service de livraison à domicile des colis & de repas","Courier & delivery services","18 Avenue Othmane Ibnou Affane, El Jadida","·","· Closes 23:59","Open","+212 669-892763"
"MAZA Fresh","Food delivery service","El Jadida","·","· Closes 20:00","Open","+212 663-080007"
"Samurai Mazagan","Restaurant","Avenue Bir Anzaren, El Jadida","·","· Closes 00:00","Open","+212 621-748854"
"SPEEDAF EL JADIDA","Courier & delivery services","722 Rue Harround Arrachid, El Jadida","","","",""
"Sapress El Jadida","Freight & cargo service","‏Bd Bir Anzarane شارع‏ بئر‏ أنزران, النواصر","·","· Closes 17:00","Open","+212 602-478588"
"FedEx Express : Transport & Courrier Express International","Freight & cargo service","Al Madina Mounawara, Fez","·","· Closes 18:30","Open","+212 5224-58009"
"LC Waikiki","Clothing store","20 Shari' Muhammad Al-Sadis, El Jadida","·","· Closes 22:00","Open","+212 5233-74970"
"LC Waikiki","Clothing store","2 Avenue Allal El Fassi, الجديدة","·","· Closes 22:00","Open","+212 5233-92497"
