"rms_img src","l_magTitle","l_rev_pirs","l_rev_rc","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap"
"https://th.bing.com/th/id/OLC.bZdbfiWuUhFoPA480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local","La Morille Dar Diafa","4.5/5","(44 reviews)","Moroccan","‏17 Ave Allal Ben Abdallah شارع‏ علال‏ بن‏ عبد‏ الله, فاس","·","· Closes 23:00","Open","+212 5359-43733"
"https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png","Pizza Hut Delivery Mahaj Riad","","","Pizza","13 Shari' Al-Teen, Rabat","·","· Closes 00:30","Open","+212 5377-17878"
"https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png","Livreur fes BENLEMLIH / Delivery by benlemlih","","","Food delivery service","·","","","Open 24 hours","+212 776-990114"
"https://th.bing.com/th/id/OLC.30P0zLWThDmwRw480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local","Pizza Hut","3.3/5","(19 reviews)","·","American","26 Shari' Mawlai Yousuf, Fez","· Closes 00:00","Open","+212 5356-22722"
"https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png","Ozon Express Fès","","","Courier & delivery services","·","","· Closes 16:30","Open","+212 520-919919"
"https://th.bing.com/th/id/OLC.XjtDgHogbYymQA480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local","La Breva Rooftop","3.9/5","(58 reviews)","·","Restaurant","4 Avenue Allal Ben Abdallah شارع علال بن عبد الله, Fez","· Closes 01:00","Open","+212 662-409092"
"https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png","DHL Service Point (Fes Allal ben Abdellah SP)","","","Courier & delivery services","6 Avenue Allal Ben Abdallah شارع علال بن عبد الله, Fez","·","· Closes 18:30","Open","+212 5229-72020"
"https://th.bing.com/th/id/OLC.9n8fjcel1R556g480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local","Burger King - Borj Fez","","","Burgers","26 Shari' Mawlai Yousuf, Fez","·","· Closes 23:00","Open","+212 5359-32458"
"https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png","CTM MESSAGERIE","","","Food delivery service","6 Rue Melilla, Fez","","· Closes 18:30","Open",""
"https://th.bing.com/th/id/OLC.67Z3sbulLEVrdg480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local","Domino's Pizza","","","Pizza","26 Shari' Mawlai Yousuf, Fez","·","· Closes 23:30","Open","+212 5356-53929"
