"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap"
"McDonald's","Fast food","Route Assaknia, Kenitra","·","· Closes 01:05","Open","+212 5373-95583"
"DHL Service Point (KENITRA SP)","Courier & delivery services","53 Rue Abou Baker Essedik, Kenitra","·","· Closes 17:00","Open","+212 5229-72020"
"KFC","Fast food","47 Rue Moulay Abdellah, Kenitra","·","· Closes 00:00","Open","+212 520-949698"
"Domino's Pizza","Pizza","Avenue des Far, Mechra Bel Ksiri","·","· Closes 23:30","Open","+212 5373-94242"
"Livreur kenitra","Food delivery service","437, الصخيرات","·","","Open 24 hours","+212 663-037558"
"Primos Chicken","Restaurant","133 Rue Al Maamora, Kenitra","·","· Closes 01:00","Open","+212 530-995599"
"livraison a domicile kenitra","Courier & delivery services","3 Rue 324, Kenitra","·","","Open 24 hours","+212 661-487098"
"Z'k Delivery : Livraison à domicile","Courier & delivery services","Kenitra","","","","+212 600-094750"
"Kenitra delivery man very fast 24/7","Courier & delivery services","Kenitra","·","","Open 24 hours","+212 706-736214"
"Pizza Hut","Pizza","Kenitra","·","· Closes 00:00","Open","+212 530-102030"
"Delivery Service توصيل الطلبيات في القنيطرة","Courier & delivery services","Rue Salah Eddine Al Ayoubi, Kenitra","·","","Open 24 hours","+212 687-531320"
"Delivery Fahd livraison","Courier & delivery services","403 Avenue Mohamed V شارع محمد الخامس, Kenitra","·","","Open 24 hours","+212 638-200904"
"Pizza Hut","Pizza","‏1 زنقة‏ 24, القنيطرة","·","· Closes 00:00","Open","+212 530-102030"
"Commande Liya : Food Delivery","Food delivery service","1 Majmou'at Khureebkah, Kenitra","·","","Open 24 hours","+212 654-736487"
"Pizzahut","American","Rabat","·","· Closes 23:00","Open","+212 530-102030"
"CTM Shipping - Kenitra","Freight & cargo service","10 Rue Moulay Abdelhafid, Kenitra","·","· Closes 18:30","Open","+212 5373-25686"
"Best delivery service in kenitra","Food delivery service","زنقة‏ B3, وجدة","·","","Open 24 hours","+212 603-638841"
"Tarik Delivery","Courier & delivery services","Kenitra, Rabat-Salé-Kénitra","","· Closes 20:00","Open",""
"Livreur kenitra-allo Khalid -livraison a domicile 24/24","Courier & delivery services","Rue Moulay Slimane, Kenitra","·","","Open 24 hours","+212 718-903434"
"Pharmacie de garde kenitra livraison a domicile","Courier & delivery services","63 Rue Mustafa Rafil, Kenitra","·","","Open 24 hours","+212 626-611096"
"Fast shipping","Courier & delivery services","Kenitra","·","· Closes 23:59","Open","+212 615-848754"
"Ghazala : Transport de Marchandises & Messageries_Kénitra Maamora","Courier & delivery services","104 Avenue Moulay Abdel Aziz, Kenitra","·","· Closes 15:50","Open","+212 5373-78944"
"Livreur kenitra trè fast","Courier & delivery services","‏76 زنقة‏ مولاي‏ عبد‏ الرحمان, القنيطرة","·","","Open 24 hours","+212 607-928481"
"Fleurs Kénitra","","Florist","Route Assaknia, Kenitra","","","+212 652-720588"
"Livraison kenitra","Food delivery service","Kenitra","","","",""
"Fresh Pizz'","Pizza delivery service","Avenue Tariq Ibn Ziyad, Kenitra","·","· Opens 16:30","","+212 631-099792"
"Aswak Assalam Kénitra","Supermarket","Rue Barrage Al Wahda, Kenitra","·","· Closes 23:00","Open","+212 5373-70246"
"LC Waikiki Kénitra","Clothing store","Rte Sidi Allal El Bahraoui, Kenitra","·","· Closes 21:30","Open","+212 5373-76106"
"Point relais Jumia - Salé ( Hay Chmaou )","Courier & delivery services","122 Boulevard Rahal Al Maskini, Salé","·","· Closes 20:00","Open","+212 632-346386"
"SAT messaging","Courier & delivery services","Ave Said Daoudi, Kenitra","·","· Closes 18:30","Open","+212 668-338573"
"Point relais Jumia Salé (Laayayda)","Courier & delivery services","Ave Ibn Al Haytam, Dcheira El Jihadia","·","· Closes 21:00","Open","+212 667-808786"
"Dary Express","Courier & delivery services","Rue Al Mokhtar Assousi, Salé","","","","+212 661-294692"
"Allo Jib Liya","Courier & delivery services","3409 Rue 70, Kenitra","·","· Closes 23:42","Open","+212 620-314759"
"HUB SALE","Courier & delivery services","17 Avenue Salah Eddine el Ayoubi, Salé","·","· Closes 00:00","Open","+212 665-602409"
"LIVRILINA | livraison e-commerce","Food delivery service","Route de Rabat, Salé","·","· Closes 20:00","Open","+212 675-478914"
"ORTALOG","Courier & delivery services","Route de Rabat, Salé","·","· Closes 19:00","Open","+212 633-353362"
"RIYALTOS EXPRESS","Courier & delivery services","16 Avenue de l'Aviation, Salé","·","· Closes 00:00","Open","+212 614-964392"
"Popi Food","Pizza","52 Avenue Tariq Ibn Ziyad, Kenitra","·","· Closes 02:00","Open","+212 680-735007"
"Driver59","Food delivery service","1 Rue 324, Kenitra","·","· Closes 23:30","Open","+212 630-240872"
"Natsakhar lik livraison à domicile","Courier & delivery services","289 Tareeq Hawziyyah, Kenitra","·","","Open 24 hours","+212 608-931920"
"McDonald's Route de Tanger","Restaurant","8 Route de Tétouan, Tangier","","· Closes 00:00","Open",""
"italia Uno : Café, Glacier & Pizzeria","Pizza","Avenue Mohamed V, Kenitra","·","· Closes 23:00","Open","+212 5373-62842"
"JUMIA POINT RELAIS (LIVRAISON JUMIA )","Courier & delivery services","76 Rue Mohamed El Amraoui, Kenitra","·","· Closes 19:00","Open","+212 673-360204"
"AMANA","Courier & delivery services","Kenitra","·","· Closes 16:00","Open","+212 658-652413"
"Livraison helala","Courier & delivery services","‏5 Ave Mohamed V شارع‏ محمد‏ الخامس, القنيطرة","","","",""
"Colis Flash : Livraison Rapide à Domicile","Freight forwarding agency","698, القنيطرة","·","","Open 24 hours","+212 675-127482"
"Livraisom helala","Courier & delivery services","Route de Haouzia, Kenitra","","","Open 24 hours",""
"خدمة فواتير أداء فواتير ريضال +جميع شبكات الوطنية +ضريبة سيارة","Courier & delivery services","45 Rue Hanae زنقة الهناء, Salé","·","· Closes 00:00","Open","+212 5378-67430"
"So Pizza","Pizza","Kenitra","·","· Closes 00:00","Open","+212 707-079996"
"Express Relais","Courier & delivery services","Avenue Mohamed V, Kenitra","","","Open 24 hours",""
"Ste SNARF","Freight forwarding agency","14 Avenue Al Istiqual, Kenitra","·","· Closes 18:00","Open","+212 661-452756"
"BIM بيم","Convenience store","Rue Pacha Abdelhamid El Alaoui, Kenitra","·","· Closes 21:00","Open","+212 5226-79292"
"BIM Stores haouzia","Supermarket","Avenue Aqid Allam, Kenitra","","","",""
"Barid Cash","Corporate office","Avenue Hassan 2, Kenitra","·","· Closes 00:00","Open","+212 643-213556"
"IL Forno - Restaurant italien & Pizzeria","Pizza","2 Rue Ibn Tammam, Kenitra","·","· Closes 23:00","Open","+212 5373-94922"
"Aji Naklo : Pizza italiano","Pizza","48 Rue Jamil Sidki Zouahaoui, Kenitra","·","· Closes 23:59","Open","+212 628-470050"
"BiM Stores","Convenience store","زنقة‏ حسان‏ بن‏ النعمان, الرباط","","· Closes 21:00","Open",""
"Pizzeria shaddy","Pizza","429 Rue Mustafa Rafil, Kenitra","","","","+212 664-776082"
"Pizza Chez Nedo","Pizza","Avenue Said Daoudi, Kenitra","·","· Closes 23:30","Open","+212 669-477769"
"BIM Convenience Store","Grocery store","100 Rue Chahid Ben Haja, Kenitra","·","· Closes 21:00","Open","+212 5226-79292"
"BIM Stores","Supermarket","Unnamed Road 10, Frametown","·","· Closes 22:00","Open","+212 629-920507"
"Pizza Hola","Pizza","Kenitra","·","· Closes 05:00","Open","+212 710-657333"
"PYRAMIDO'S COFFEE&PIZZERIA","Pizza","403 Rue Mohamed Diouri زنقة محمد الديوري, Kenitra","·","· Closes 03:00","Open","+212 530-750750"
"Snack Isra Pizza&Panini","Pizza","Kenitra","","","",""
"Bim Store Le Vallon","Shopping center","1393 Avenue Azharoun, Kenitra","","· Closes 22:00","Open",""
"fastspeedservices","Freight & cargo service","6 Rue Mohamed El Quori, Kenitra","·","· Closes 02:00","Open","+212 662-298558"
"Cash Plus Chateau Ouled Oujih","Water supplier","299 Route Maqbara, Kenitra","·","· Closes 20:00","Open","+212 661-588423"
"Quick Livraison Sale","Transportation","Salé","·","· Closes 18:30","Open","+212 600-976568"
"B Golden way","Freight & cargo service","24 Rue Hommane El Fetouaki, Kenitra","·","· Closes 18:30","Open","+212 530-171792"
"Fior Di Pizza","Pizza","Rue Mohamed El Amraoui, Kenitra","·","· Closes 23:30","Open","+212 665-007848"
"House Of Kickz Morocco","Shoe store","Rue Mohamed Abdou, Kenitra","·","· Closes 21:30","Open","+212 661-444064"
"Tik tok pizza","Pizza","34 Rue 287, Kenitra","","","",""
"Plosadou Sarl","Pizza","6 Rue Mohammed El Hanssali, Kénitra","","","","+212 5373-76741"
"snack islam","Pizza","Kenitra","","","",""
"Tija Trans","Freight & cargo service","13 Rue Saad Zaghloul, Kenitra","","","",""
"Bouzough Ittisal","Freight & cargo service","29 Rue Jamil Sidki Zouahaoui, Kenitra","","","",""
"Kooora News","Pizza","32 Rue Akhidi Ben Abdeslam Ben Mohamed, Kenitra","","","",""
