"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap"
"Pizza Hut","Pizza","25 Rue Abdelmoumen, Mohammedia","·","· Closes 00:00","Open","+212 530-102030"
"Domino's Pizza","Pizza","Rue Youssef Ibn Tachfine, Mohammedia","·","· Closes 23:30","Open","+212 5233-01919"
"Pizza Hut","Pizza","2 Boulevard Mohamed VI, Mohammedia","·","· Closes 00:00","Open","+212 5233-01301"
"OZONEXPRESS","Courier & delivery services","Mohammedia","","· Closes 00:00","Open",""
"Pizza Hut Mansouria","Pizza","الطريق البحرية, El Mansouria","·","· Closes 00:00","Open","+212 5233-30606"
"Allo delivery","Courier & delivery services","13 Bd Mohamed Zerktouni, Mohammedia","·","· Closes 02:00","Open","+212 691-281668"
"Prestissimo Livraison Mohammédia","Courier & delivery services","Mohammedia, Casablanca-Settat","·","· Closes 23:00","Open","+212 634-392559"
"Aswak Delivery - Livraison à domicile","Food delivery service","Bouznika, Casablanca-Settat","·","· Closes 23:00","Open","+212 80-0097070"
"Sendit","Courier & delivery services","Boulevard Al Bina, Casablanca","·","· Closes 18:30","Open","+212 520-976767"
"BIG DELIVERY","Courier & delivery services","Casablanca","·","· Closes 21:30","Open","+212 612-110101"
"Pizza Hut","Pizza","Rue Al Marjane, Casablanca","·","· Closes 00:00","Open","+212 5226-61662"
"Delivery","Courier & delivery services","1 Zanqat Al-Nakheel, Benslimane","·","· Closes 00:00","Open","+212 606-450727"
"High Delivery","Courier & delivery services","1 Rue 25, الدار البيضاء","·","· Closes 18:00","Open","+212 5227-17150"
"Lynx delivery","Freight forwarding agency","63 Boulevard New York, Casablanca","·","· Closes 20:00","Open","+212 668-034594"
"Cathedis","Transportation","Casablanca","·","· Closes 19:00","Open","+212 520-255255"
"Alfo Express Delivery","Freight & cargo service","Casablanca","·","","Open 24 hours","+212 637-021750"
"اوزون اكسبريس","Courier & delivery services","8 Chemin des Dahlias, Casablanca","·","· Closes 00:00","Open","+212 520-919919"
