"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap"
"McDonald's","Fast food","Boulevard M'Bark El Bekkay Lahbil, Oujda","·","· Closes 23:10","Open","+212 5365-18836"
"Pizza Hut","Pizza","8 Zanqat 1, Oujda","·","· Closes 00:00","Open","+212 5366-83030"
"بريد المغرب Poste Maroc","Public service & government","1 Rue 28 زنقة, Oujda","","· Closes 16:30","Open",""
"Agency Courier","Public service & government","1 Rue Sidi Brahim زنقة سيدي إبراهيم, Oujda","","","",""
"Ozone Express Oujda","Courier & delivery services","30 Rue Annam, Oujda","","","",""
"Poste","Public service & government","Oujda","·","· Closes 16:30","Open","+212 612-135574"
"Rapido_Store : Service de la livraison à domicile","Food delivery service","Oujda","·","","Open 24 hours","+212 680-263865"
"Barid Al Maghreb","Public service & government","Oujda","","· Closes 16:30","Open",""
"Chronopost Oujda (Point de vente)","Freight & cargo service","54 Boulevard Allal Al Fassi شارع علال الفاسي, Oujda","·","· Closes 16:15","Open","+212 5366-87600"
"Xpress Livraison","Transportation","Rue S6, Oujda","·","· Closes 23:59","Open","+212 610-208383"
"Poste Barid Al Maghrib","Public service & government","Rue H4, Oujda","","· Closes 16:00","Open",""
"Poste Morocco Agency Sidi Yahya","Public service & government","Hassan II Blvd, Oujda","·","","","+212 5365-40004"
