"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap","rms_img src"
"Chrono Pizza Anfa","Pizza","76 Boulevard d'Anfa شارع أنفا, Casablanca","·","· Closes 05:00","Open","+212 5222-62628",""
"Pizza Hut Mouley Youssef","Pizza","67 Boulevard Moulay Youssef, Casablanca","·","· Closes 00:00","Open","+212 5224-73626",""
"Pizza Hut","Pizza","R Taha Houcine & R Moussa Bnou Noussair, Casablanca","·","· Closes 23:30","Open","+212 5222-98298",""
"Pizza Hut","Pizza","207 Boulevard de la Résistance, الدار البيضاء","·","· Closes 00:00","Open","+212 530-102030",""
"Livasap livraison e-commerce au Maroc","Courier & delivery services","235 Rue 79, Casablanca","","","","+212 701-555967",""
"Moumni restaurant nil","·","Italian","‏7 Rue 7 زنقة, الدار البيضاء","· Closes 03:00","Open","+212 5224-76666",""
"Burger King - Boulevard Anfa","Burgers","Washington","·","· Closes 01:00","Open","+212 5224-30595",""
"Burger King - Marina Mall","Burgers","Avenue Mohamed V, Sidi Yahya Zaer","·","· Closes 23:00","Open","+212 5222-08726",""
"أوليفيري","Food","‏132 Ave Hassan II شارع‏ الحسن‏ الثاني, الدار البيضاء","·","· Closes 01:00","Open","+212 5222-76075",""
"Burger King - Abdelmoumen","Burgers","‏Boulevard Abdelmoumen شارع‏ عبد‏ المومن, الدار البيضاء","·","· Closes 01:00","Open","+212 5222-21971",""
"Atlas livraison : Agence hay Mohammadi","Freight forwarding agency","‏29 Boulevard de la Grande Ceinture شارع‏ الحزام‏ الكبير, الدار البيضاء","·","· Closes 19:00","Open","+212 8085-87153",""
"Restaurant Grec Mykonos","Greek","5 Rue Washington زنقة واشنطن, Casablanca","·","· Closes 23:30","Open","+212 5222-69990",""
"Atlas livraison : El oulfa point de relais","Food delivery service","927 Boulevard Oued Sebou شارع وادي سبو, Casablanca","·","· Closes 16:00","Open","+212 661-711236",""
"Atlas livraison : agence sidi moumen","Freight forwarding agency","13 Zanqah 30, Casablanca","·","· Closes 18:00","Open","+212 520-135828",""
"Aswak Delivery - Livraison à domicile","Food delivery service","Bouznika, Casablanca-Settat","·","· Closes 23:00","Open","+212 80-0097070",""
"Express Livraison","Food delivery service","32 Rue 193, Casablanca","·","· Closes 22:00","Open","+212 645-286651",""
