"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap"
"Jibli.ma","Food delivery service","11 Rue Dayet Erroumi, الرباط","·","· Closes 02:00","Open","+212 669-882929"
"BagoFood Maroc","Courier & delivery services","‏48 Avenue Fal Ould Oumeir شارع‏ فال‏ ولد‏ عمير, الرباط","·","","Open 24 hours","+212 625-882370"
"DHL Service Point (Rabat Agdal SP)","Courier & delivery services","‏40 Avenue de France شارع‏ فرنسا, الرباط","·","· Closes 18:30","Open","+212 5229-72020"
"Unisushi Delivery Rabat","Sushi","Rabat","·","· Closes 23:00","Open","+212 666-378434"
"Point relais Jumia - Rabat ( Agdal )","Courier & delivery services","‏10 Avenue Al Abtal شارع‏ الابطال, الرباط","·","· Closes 20:00","Open","+212 8085-17945"
"Domino's Pizza (Arribat Center)","Pizza","1 Rue Oued Souss زنقة واد سوس, Rabat","·","· Closes 23:30","Open","+212 5377-79477"
"Pizza Hut","Pizza","11 Avenue de France, Rabat","·","· Closes 23:30","Open","+212 5376-81300"
"Domino's","Pizza","34 Avenue 16 Novembre, Rabat","·","· Closes 23:30","Open","+212 5376-70606"
"CTM Messagerie","Courier & delivery services","AV Ibn Sina & Oued El Makhazine, Rabat","·","· Closes 18:30","Open","+212 5376-71559"
"Pizza Hut","Pizza","Route Aïn Houalla, Rabat","·","· Closes 23:00","Open","+212 5377-36388"
"Allo SOS Pharmacie de Garde Rabat Salé","","Courier & delivery services","Rabat, Rabat-Salé-Kénitra","","","+212 702-402557"
"Rapidos Livraison Express","Courier & delivery services","Rabat, Rabat-Salé-Kénitra","·","","Open 24 hours","+212 633-061990"
"Done","Software development","29 Avenue Atlas, Rabat","·","· Closes 17:00","Open","+212 608-222121"
"Ctm Messagerie Rabat","Freight & cargo service","475 Avenue Hassan II, Rabat","·","· Closes 18:00","Open","+212 775-322847"
"RabiiEpress","Courier & delivery services","25 Zanqat 15, Rabat","·","· Closes 19:00","Open","+212 700-105909"
"rim delivery","Freight forwarding agency","7 Rue Mohamed Triki زنقة محمد التريكي, Rabat","·","· Closes 02:00","Open","+222 20 93 99 23"
"Aramex Rabat","Freight & cargo service","42 Avenue de Tadla, Rabat","·","· Closes 18:30","Open","+212 5222-71414"
"Pizza Hut Delivery Mahaj Riad","Pizza","13 Shari' Al-Teen, Rabat","·","· Closes 00:30","Open","+212 5377-17878"
"First Pizza","Pizza delivery service","‏Résidence Aicha, 64 Rue Oum Errabia زنقة‏ أم‏ الربيع, الرباط","·","· Closes 00:00","Open","+212 5377-73777"
"Allo livreur Rabat","Courier & delivery services","‏11 Rue Tensift زنقة‏ تانسيفت, الرباط","·","","Open 24 hours","+212 675-075578"
"Livreur médina Rabat","Courier & delivery services","Place Mohamed Zerktouni, Rabat","","· Closes 23:30","Open",""
"Point de relais Jumia Océan","Courier & delivery services","20 Rue Al Hind زنقة الهند, Rabat","·","· Closes 19:00","Open","+212 663-593046"
"Express Coursier","Courier & delivery services","Rue Al Bahr, Rabat","·","· Closes 00:00","Open","+212 701-234923"
"HUB SALE","Courier & delivery services","17 Avenue Salah Eddine el Ayoubi, Salé","·","· Closes 00:00","Open","+212 665-602409"
"Your fast delivery","Transportation","Rabat","","","","+212 636-368774"
"livreur rabat","Freight forwarding agency","2 Avenue Brahim Roudani, Rabat","·","· Closes 18:00","Open","+212 619-397666"
"Agence Jumia - El Menzeh - Rabat","Courier & delivery services","118 Rue Al Kanari, Rabat","·","· Closes 19:00","Open","+212 5372-94383"
"Colisade Delivery","Transportation","‏86 شارع‏ الحور, الرباط","·","· Closes 17:00","Open","+212 649-517070"
"Pizza'n Pasta","","Pizza delivery service","66 Avenue Oqba, Rabat","","","+212 661-159393"
"Pizza Río","Pizza","‏264 Ave Abdelkrim Al Khattabi شارع‏ عبد‏ الكريم‏ الخطابي, الرباط","·","· Closes 23:30","Open","+212 606-850515"
"Talabate","Courier & delivery services","Rue Al Malfouf, Rabat","","","","+212 5372-00027"
"The-Africanbasket","","Courier & delivery services","1 Rue 57, الرباط","","","+212 681-184131"
